metric,recall@1,recall@1,recall@5,recall@5,recall@10,recall@10,recall@30,recall@30,recall@50,recall@50,recall@100,recall@100,MAP,MAP,MRR,MRR
stat,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
phase,,,,,,,,,,,,,,,,
before,6.18,0.45999999999999996,12.86,0.45999999999999996,16.2,0.6799999999999999,23.25,1.03,26.25,1.46,31.740000000000002,1.52,15.36,0.6799999999999999,17.7,0.72
after,11.52,0.44999999999999996,12.86,0.45999999999999996,16.2,0.6799999999999999,23.23,1.0,26.229999999999997,1.47,31.740000000000002,1.52,21.19,0.76,24.63,0.8699999999999999
