metric,recall@1,recall@1,recall@5,recall@5,recall@10,recall@10,recall@30,recall@30,recall@50,recall@50,recall@100,recall@100,MAP,MAP,MRR,MRR
stat,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
phase,,,,,,,,,,,,,,,,
before,18.13,1.55,31.269999999999996,2.6100000000000003,37.29,3.8,51.65,4.67,60.79,2.82,73.21,1.8900000000000001,29.34,1.4500000000000002,34.449999999999996,1.41
after,28.1,1.8499999999999999,31.269999999999996,2.6100000000000003,37.09,3.8699999999999997,51.65,4.67,60.79,2.82,73.21,1.8900000000000001,36.27,2.04,43.24,2.8899999999999997
